Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
RAM,F4-2400C14Q2-128GRK,G.SKILL,Ripjaws 4 DDR4 2400 C14 8x16GB,1,123,42,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2400-C14-8x16GB/Rating/3567
RAM,F4-3200C14Q-64GTZ,G.SKILL,Trident Z DDR4 3200 C14 4x16GB,2,112,736,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C14-4x16GB/Rating/3612
RAM,BLS4K8G4D240FSA,Crucial,Ballistix Sport DDR4 2400 C16 8x4GB,3,110,82,https://ram.userbenchmark.com/SpeedTest/93395/Crucial-BLS4G4D240FSAM8FAD-8x4GB
RAM,BLE4K8G4D36BEEAK,Crucial,Ballistix Elite DDR4 3600 C16 4x8GB,4,106,241,https://ram.userbenchmark.com/SpeedTest/811381/Crucial-BLE8G4D36BEEAKM8FE1-4x8GB
RAM,F4-3200C15Q-64GTZ,G.SKILL,Trident Z DDR4 3200 C15 4x16GB,5,106,150,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C15-4x16GB/Rating/3613
RAM,CMD64GX4M4B3000C15,Corsair,Dominator DDR4 3000 C15 4x16GB,6,106,75,https://ram.userbenchmark.com/Corsair-Dominator-DDR4-3000-C15-4x16GB/Rating/3565
RAM,F4-3200C14Q-32GFX,G.SKILL,Flare X DDR4 3200 C14 4x8GB,7,105,2850,https://ram.userbenchmark.com/SpeedTest/270794/GSKILL-F4-3200C14-8GFX-4x8GB
RAM,CMK32GX4M4A2666C15,Corsair,Vengeance LPX DDR4 2666 C15 4x8GB,8,100,576,https://ram.userbenchmark.com/SpeedTest/89347/Corsair-Vengeance-LPX-CMK32GX4M4A2666C15-4x8GB
RAM,BLS4K4G4D240FSA,Crucial,Ballistix Sport DDR4 2400 C16 4x4GB,9,98.2,1510,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-DDR4-2400-C16-4x4GB/Rating/3561
RAM,F4-3200C14D-16GFX,G.SKILL,Flare X DDR4 3200 C14 2x8GB,10,96.3,26120,https://ram.userbenchmark.com/SpeedTest/255366/GSKILL-F4-3200C14-8GFX-2x8GB
RAM,F4-3600C16D-16GTZ,G.SKILL,Trident Z DDR4 3600 C16 2x8GB,11,96.1,2622,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3600-C16-2x8GB/Rating/3562
RAM,F4-3200C16Q-64GVK,G.SKILL,Ripjaws V DDR4 3200 C16 4x16GB,12,94.9,3963,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-3200-C16-4x16GB/Rating/3564
RAM,F4-3000C15Q-16GRR,G.SKILL,Ripjaws 4 DDR4 3000 C15 4x4GB,13,94.8,2287,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-3000-C15-4x4GB/Rating/3540
RAM,F4-3000C15Q-16GRB,G.SKILL,Ripjaws 4 DDR4 3000 C15 4x4GB,13,94.8,2287,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-3000-C15-4x4GB/Rating/3540
RAM,F4-3000C15Q-16GRK,G.SKILL,Ripjaws 4 DDR4 3000 C15 4x4GB,13,94.8,2287,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-3000-C15-4x4GB/Rating/3540
RAM,F4-3600C17D-16GTZ,G.SKILL,Trident Z DDR4 3600 C17 2x8GB,14,94.6,1051,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3600-C17-2x8GB/Rating/3563
RAM,HX426C15FBK4/32,HyperX,Fury DDR4 2666 C15 4x8GB,15,94.5,4076,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-4x8GB/Rating/3570
RAM,BLE2K8G4D36BEEAK,Crucial,Ballistix Elite DDR4 3600 C16 2x8GB,16,94.4,904,https://ram.userbenchmark.com/SpeedTest/786050/Crucial-BLE8G4D36BEEAKM8FE1-2x8GB
RAM,F4-2800C16Q-16GRR,G.SKILL,Ripjaws 4 DDR4 2800 C16 4x4GB,17,93.2,1000,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2800-C16-4x4GB/Rating/3608
RAM,F4-2800C16Q-16GRB,G.SKILL,Ripjaws 4 DDR4 2800 C16 4x4GB,17,93.2,1000,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2800-C16-4x4GB/Rating/3608
RAM,F4-2800C16Q-16GRK,G.SKILL,Ripjaws 4 DDR4 2800 C16 4x4GB,17,93.2,1000,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2800-C16-4x4GB/Rating/3608
RAM,CMR16GX4M2C3600C18,Corsair,Vengeance RGB DDR4 3600 C18 2x8GB,18,92.1,3414,https://ram.userbenchmark.com/SpeedTest/315553/Corsair-CMR16GX4M2C3600C18-2x8GB
RAM,F4-3600C17D-8GTZ,G.SKILL,Trident Z DDR4 3600 C17 2x4GB,19,92,128,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3600-C17-2x4GB/Rating/3566
RAM,CMR16GX4M2C3466C16,Corsair,Vengeance RGB DDR4 3466 C16 2x8GB,20,91.7,3845,https://ram.userbenchmark.com/SpeedTest/287318/Corsair-CMR16GX4M2C3466C16-2x8GB
RAM,CMK16GX4M4B3000C15,Corsair,Vengeance LPX DDR4 3000 C15 4x4GB,21,91.1,4551,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-4x4GB/Rating/3558
RAM,CMK16GX4M4B3000C15B,Corsair,Vengeance LPX DDR4 3000 C15 4x4GB,21,91.1,4551,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-4x4GB/Rating/3558
RAM,CMK16GX4M4B3000C15R,Corsair,Vengeance LPX DDR4 3000 C15 4x4GB,21,91.1,4551,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-4x4GB/Rating/3558
RAM,CMK16GX4M4A2800C16,Corsair,Vengeance LPX DDR4 2800 C16 4x4GB,22,90.9,2167,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2800-C16-4x4GB/Rating/3541
RAM,CMK16GX4M4A2800C16B,Corsair,Vengeance LPX DDR4 2800 C16 4x4GB,22,90.9,2167,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2800-C16-4x4GB/Rating/3541
RAM,CMK16GX4M4A2800C16R,Corsair,Vengeance LPX DDR4 2800 C16 4x4GB,22,90.9,2167,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2800-C16-4x4GB/Rating/3541
RAM,CMK32GX4M4A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 4x8GB,23,89.4,2777,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x8GB/Rating/3542
RAM,CMK32GX4M4A2400C14B,Corsair,Vengeance LPX DDR4 2400 C14 4x8GB,23,89.4,2777,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x8GB/Rating/3542
RAM,CMK32GX4M4A2400C14R,Corsair,Vengeance LPX DDR4 2400 C14 4x8GB,23,89.4,2777,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x8GB/Rating/3542
RAM,CMR16GX4M2C3200C16,Corsair,Vengeance RGB DDR4 3200 C16 2x8GB,24,87.9,9297,https://ram.userbenchmark.com/SpeedTest/298180/Corsair-CMR16GX4M2C3200C16-2x8GB
RAM,CMK16GX4M4A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 4x4GB,25,87.8,2351,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533
RAM,CMK16GX4M4A2400C14B,Corsair,Vengeance LPX DDR4 2400 C14 4x4GB,25,87.8,2351,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533
RAM,CMK16GX4M4A2400C14R,Corsair,Vengeance LPX DDR4 2400 C14 4x4GB,25,87.8,2351,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533
RAM,CMK32GX4M2B3200C16,Corsair,Vengeance LPX DDR4 3200 C16 2x16GB,26,87.2,29079,https://ram.userbenchmark.com/SpeedTest/97244/Corsair-Vengeance-LPX-CMK32GX4M2B3200C16-2x16GB
RAM,F4-3200C16D-16GTZB,G.SKILL,Trident Z DDR4 3200 C16 2x8GB,27,87.1,18806,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C16-2x8GB/Rating/3550
RAM,CMW32GX4M2C3200C16,Corsair,Vengeance RGB PRO DDR4 3200 C16 2x16GB,28,87,19384,https://ram.userbenchmark.com/SpeedTest/587593/Corsair-CMW32GX4M2C3200C16-2x16GB
RAM,CMK16GX4M4A2666C16,Corsair,Vengeance LPX DDR4 2666 C16 4x4GB,29,87,4347,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x4GB/Rating/3557
RAM,CMK16GX4M4A2666C16B,Corsair,Vengeance LPX DDR4 2666 C16 4x4GB,29,87,4347,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x4GB/Rating/3557
RAM,CMK16GX4M4A2666C16R,Corsair,Vengeance LPX DDR4 2666 C16 4x4GB,29,87,4347,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x4GB/Rating/3557
RAM,CMK32GX4M4A2666C16,Corsair,Vengeance LPX DDR4 2666 C16 4x8GB,30,86.5,4776,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x8GB/Rating/3586
RAM,CMK32GX4M4A2666C16B,Corsair,Vengeance LPX DDR4 2666 C16 4x8GB,30,86.5,4776,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x8GB/Rating/3586
RAM,CMK32GX4M4A2666C16R,Corsair,Vengeance LPX DDR4 2666 C16 4x8GB,30,86.5,4776,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x8GB/Rating/3586
RAM,CMK32GX4M4A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 4x8GB,31,86.2,972,https://ram.userbenchmark.com/SpeedTest/108268/Corsair-Vengeance-LPX-CMK32GX4M4A2400C16-4x8GB
RAM,F4-3200C16D-16GTZR,G.SKILL,Trident Z RGB DDR4 3200 C16 2x8GB,32,86.1,119114,https://ram.userbenchmark.com/SpeedTest/231020/GSKILL-F4-3200C16-8GTZR-2x8GB
RAM,F4-3200C16D-16GVKB,G.SKILL,Ripjaws V DDR4 3200 C16 2x8GB,33,86,108035,https://ram.userbenchmark.com/SpeedTest/89324/GSKILL-F4-3200C16-8GVKB-2x8GB
RAM,CMU16GX4M2C3200C16,Corsair,Vengeance LED DDR4 3200 C16 2x8GB,34,85.8,24715,https://ram.userbenchmark.com/SpeedTest/155727/Corsair-CMU16GX4M2C3200C16-2x8GB
RAM,CMU16GX4M2C3200C16B,Corsair,Vengeance LED DDR4 3200 C16 2x8GB,34,85.8,24715,https://ram.userbenchmark.com/SpeedTest/155727/Corsair-CMU16GX4M2C3200C16-2x8GB
RAM,CMU16GX4M2C3200C16R,Corsair,Vengeance LED DDR4 3200 C16 2x8GB,34,85.8,24715,https://ram.userbenchmark.com/SpeedTest/155727/Corsair-CMU16GX4M2C3200C16-2x8GB
RAM,CMR32GX4M2C3000C15,Corsair,Vengeance RGB DDR4 3000 C15 2x16GB,35,85.8,658,https://ram.userbenchmark.com/SpeedTest/335632/Corsair-CMR32GX4M2C3000C15-2x16GB
RAM,CMK32GX4M2B3000C15,Corsair,Vengeance LPX DDR4 3000 C15 2x16GB,36,85.1,16739,https://ram.userbenchmark.com/SpeedTest/92054/Corsair-Vengeance-LPX-CMK32GX4M2B3000C15-2x16GB
RAM,CMK16GX4M2B3200C16,Corsair,Vengeance LPX DDR4 3200 C16 2x8GB,37,85,186345,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3200-C16-2x8GB/Rating/3547
RAM,CMK16GX4M2B3200C16R,Corsair,Vengeance LPX DDR4 3200 C16 2x8GB,37,85,186345,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3200-C16-2x8GB/Rating/3547
RAM,HX426C15FBK2/8,HyperX,Fury DDR4 2666 C15 2x4GB,38,85,18185,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-2x4GB/Rating/3556
RAM,HX424C15FBK4/16,HyperX,Fury DDR4 2400 C15 4x4GB,39,84.3,7208,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2400-C15-4x4GB/Rating/3585
RAM,CMD16GX4M2B3000C15,Corsair,Dominator DDR4 3000 C15 2x8GB,40,84.2,8119,https://ram.userbenchmark.com/Corsair-Dominator-DDR4-3000-C15-2x8GB/Rating/3597
RAM,F4-3000C15D-16GTZB,G.SKILL,Trident Z DDR4 3000 C15 2x8GB,41,84.1,3797,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3000-C15-2x8GB/Rating/3548
RAM,CMZ64GX3M8A1600C9,Corsair,Vengeance DDR3 1600 C9 8x8GB,42,83.9,60,https://ram.userbenchmark.com/SpeedTest/100478/Corsair-Vengeance-CMZ64GX3M8A1600C9-8x8GB
RAM,CMR16GX4M2C3000C15,Corsair,Vengeance RGB DDR4 3000 C15 2x8GB,43,83.8,25480,https://ram.userbenchmark.com/SpeedTest/258851/Corsair-CMR16GX4M2C3000C15-2x8GB
RAM,HX426C15FBK2/16,HyperX,Fury DDR4 2666 C15 2x8GB,44,83.7,25359,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-2x8GB/Rating/3553
RAM,CMR16GX4M2D3000C16,Corsair,Vengeance RGB DDR4 3000 C16 2x8GB,45,83.5,4363,https://ram.userbenchmark.com/SpeedTest/465040/Corsair-CMR16GX4M2D3000C16-2x8GB
RAM,HX426C13PB3K2/16,HyperX,Predator 2666 C13 2x8GB,46,83.3,2596,https://ram.userbenchmark.com/SpeedTest/318273/Kingston-KHX2666C138GX-2x8GB
RAM,CMK8GX4M2B3000C15,Corsair,Vengeance LPX DDR4 3000 C15 2x4GB,47,82.7,21062,https://ram.userbenchmark.com/SpeedTest/90523/Corsair-Vengeance-LPX-CMK8GX4M2B3000C15-2x4GB
RAM,CMK16GX4M2B3000C15,Corsair,Vengeance LPX DDR4 3000 C15 2x8GB,48,82.1,334762,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546
RAM,CMK16GX4M2B3000C15B,Corsair,Vengeance LPX DDR4 3000 C15 2x8GB,48,82.1,334762,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546
RAM,CMK16GX4M2B3000C15R,Corsair,Vengeance LPX DDR4 3000 C15 2x8GB,48,82.1,334762,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546
RAM,CMK16GX4M2B3000C15W,Corsair,Vengeance LPX DDR4 3000 C15 2x8GB,48,82.1,334762,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546
RAM,CMW16GX4M2C3000C15,Corsair,Vengeance RGB PRO DDR4 3200 C15 2x8GB,49,81.9,37886,https://ram.userbenchmark.com/SpeedTest/523893/Corsair-CMW16GX4M2C3000C15-2x8GB
RAM,F4-3000C16D-16GTZR,G.SKILL,Trident Z RGB DDR4 3000 C16 2x8GB,50,81.5,50795,https://ram.userbenchmark.com/SpeedTest/236585/GSKILL-F4-3000C16-8GTZR-2x8GB
RAM,CMK16GX4M4A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 4x4GB,51,81.3,301,https://ram.userbenchmark.com/SpeedTest/89553/Corsair-Vengeance-LPX-CMK16GX4M4A2400C16-4x4GB
RAM,HX421C14FBK4/32,HyperX,Fury DDR4 2133 C14 4x8GB,52,81.2,3246,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-4x8GB/Rating/3569
RAM,HX426C16FB2K2/16,HyperX,Fury 2666 C16 2x8GB,53,81.2,43345,https://ram.userbenchmark.com/SpeedTest/272118/Kingston-KHX2666C168G-2x8GB
RAM,HX426C16FW2K2/16,HyperX,Fury 2666 C16 2x8GB,53,81.2,43345,https://ram.userbenchmark.com/SpeedTest/272118/Kingston-KHX2666C168G-2x8GB
RAM,HX426C16FR2K2/16,HyperX,Fury 2666 C16 2x8GB,53,81.2,43345,https://ram.userbenchmark.com/SpeedTest/272118/Kingston-KHX2666C168G-2x8GB
RAM,CMK16GX4M2C3000C16,Corsair,Vengeance LPX DDR4 3000 C16 2x8GB,54,81.1,2232,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB
RAM,CMK16GX4M2C3000C16B,Corsair,Vengeance LPX DDR4 3000 C16 2x8GB,54,81.1,2232,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB
RAM,CMK16GX4M2C3000C16R,Corsair,Vengeance LPX DDR4 3000 C16 2x8GB,54,81.1,2232,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB
RAM,CMK16GX4M2C3000C16W,Corsair,Vengeance LPX DDR4 3000 C16 2x8GB,54,81.1,2232,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB
RAM,CMU16GX4M2C3000C15,Corsair,Vengeance LED DDR4 3000 C15 2x8GB,55,80.9,28859,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB
RAM,CMU16GX4M2C3000C15B,Corsair,Vengeance LED DDR4 3000 C15 2x8GB,55,80.9,28859,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB
RAM,CMU16GX4M2C3000C15R,Corsair,Vengeance LED DDR4 3000 C15 2x8GB,55,80.9,28859,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB
