Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
RAM,BLS4K8G4D240FSB,Crucial,Ballistix Sport LT DDR4 2400 C16 4x8GB,56,80.2,438,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-4x8GB/Rating/3637
RAM,BLS4K8G4D240FSC,Crucial,Ballistix Sport LT DDR4 2400 C16 4x8GB,56,80.2,438,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-4x8GB/Rating/3637
RAM,BLS4K8G4D240FSE,Crucial,Ballistix Sport LT DDR4 2400 C16 4x8GB,56,80.2,438,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-4x8GB/Rating/3637
RAM,HX424C15FBK2/16,HyperX,Fury DDR4 2400 C15 2x8GB,57,79.2,13132,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2400-C15-2x8GB/Rating/3587
RAM,CMR16GX4M2A2666C16,Corsair,Vengeance RGB DDR4 2666 C16 2x8GB,58,78.1,5418,https://ram.userbenchmark.com/SpeedTest/282283/Corsair-CMR16GX4M2A2666C16-2x8GB
RAM,CMK32GX4M2A2666C16,Corsair,Vengeance LPX DDR4 2666 C16 2x16GB,59,77.9,10545,https://ram.userbenchmark.com/SpeedTest/92488/Corsair-Vengeance-LPX-CMK32GX4M2A2666C16-2x16GB
RAM,CMK8GX4M2A2666C16,Corsair,Vengeance LPX DDR4 2666 C16 2x4GB,60,77.7,11016,https://ram.userbenchmark.com/SpeedTest/90467/Corsair-Vengeance-LPX-CMK8GX4M2A2666C16-2x4GB
RAM,BLS2K8G4D240FSB,Crucial,Ballistix Sport LT DDR4 2400 C16 2x8GB,61,77.7,5813,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-2x8GB/Rating/3638
RAM,BLS2K8G4D240FSC,Crucial,Ballistix Sport LT DDR4 2400 C16 2x8GB,61,77.7,5813,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-2x8GB/Rating/3638
RAM,BLS2K8G4D240FSE,Crucial,Ballistix Sport LT DDR4 2400 C16 2x8GB,61,77.7,5813,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-2x8GB/Rating/3638
RAM,F4-2400C15Q-32GVR,G.SKILL,Ripjaws V DDR4 2400 C15 4x8GB,62,77.6,3794,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-4x8GB/Rating/3568
RAM,CMK8GX4M2A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 2x4GB,63,77.4,7433,https://ram.userbenchmark.com/SpeedTest/105361/Corsair-Vengeance-LPX-CMK8GX4M2A2400C16-2x4GB
RAM,BLS2K8G4D240FSA,Crucial,Ballistix Sport DDR4 2400 C16 2x8GB,64,77.3,2536,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-DDR4-2400-C16-2x8GB/Rating/3611
RAM,CMK32GX4M2A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 2x16GB,65,76.7,3453,https://ram.userbenchmark.com/SpeedTest/131225/Corsair-Vengeance-LPX-CMK32GX4M2A2400C16-2x16GB
RAM,CMK16GX4M2A2666C16,Corsair,Vengeance LPX DDR4 2666 C16 2x8GB,66,76.3,60160,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-2x8GB/Rating/3545
RAM,CMK16GX4M2A2666C16R,Corsair,Vengeance LPX DDR4 2666 C16 2x8GB,66,76.3,60160,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-2x8GB/Rating/3545
RAM,CMU16GX4M2A2666C16,Corsair,Vengeance LED DDR4 2666 C16 2x8GB,67,76,7368,https://ram.userbenchmark.com/SpeedTest/152975/Corsair-CMU16GX4M2A2666C16-2x8GB
RAM,CMU16GX4M2A2666C16B,Corsair,Vengeance LED DDR4 2666 C16 2x8GB,67,76,7368,https://ram.userbenchmark.com/SpeedTest/152975/Corsair-CMU16GX4M2A2666C16-2x8GB
RAM,CMU16GX4M2A2666C16R,Corsair,Vengeance LED DDR4 2666 C16 2x8GB,67,76,7368,https://ram.userbenchmark.com/SpeedTest/152975/Corsair-CMU16GX4M2A2666C16-2x8GB
RAM,CMK16GX4M2A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 2x8GB,68,75.8,59097,https://ram.userbenchmark.com/SpeedTest/92730/Corsair-Vengeance-LPX-CMK16GX4M2A2400C16-2x8GB
RAM,CMU16GX4M2A2400C16,Corsair,Vengeance LED DDR4 2400 C16 2x8GB,69,75.4,1793,https://ram.userbenchmark.com/SpeedTest/293029/Corsair-CMU16GX4M2A2400C16-2x8GB
RAM,CMU16GX4M2A2400C16B,Corsair,Vengeance LED DDR4 2400 C16 2x8GB,69,75.4,1793,https://ram.userbenchmark.com/SpeedTest/293029/Corsair-CMU16GX4M2A2400C16-2x8GB
RAM,CMU16GX4M2A2400C16R,Corsair,Vengeance LED DDR4 2400 C16 2x8GB,69,75.4,1793,https://ram.userbenchmark.com/SpeedTest/293029/Corsair-CMU16GX4M2A2400C16-2x8GB
RAM,F4-2400C15D-8GVR,G.SKILL,Ripjaws V DDR4 2400 C15 2x4GB,70,73.5,12188,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x4GB/Rating/3559
RAM,CMK8GX4M2A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 2x4GB,71,73.3,12108,https://ram.userbenchmark.com/SpeedTest/89740/Corsair-Vengeance-LPX-CMK8GX4M2A2400C14-2x4GB
RAM,CMK16GX4M2A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 2x8GB,72,72.6,41025,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-2x8GB/Rating/3544
RAM,CMK16GX4M2A2400C14R,Corsair,Vengeance LPX DDR4 2400 C14 2x8GB,72,72.6,41025,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-2x8GB/Rating/3544
RAM,HX421C14FBK2/16,HyperX,Fury DDR4 2133 C14 2x8GB,73,72.2,37921,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-2x8GB/Rating/3552
RAM,HX421C14FB2K2/16,HyperX,Fury DDR4 2133 C14 2x8GB,73,72.2,37921,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-2x8GB/Rating/3552
RAM,F4-2400C15D-16GVR,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,74,71.6,58547,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549
RAM,F4-2400C15D-16GVB,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,74,71.6,58547,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549
RAM,F4-2400C15D-16GVK,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,74,71.6,58547,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549
RAM,F4-2400C15D-16GVS,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,74,71.6,58547,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549
RAM,F4-2400C15D-16GVG,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,74,71.6,58547,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549
RAM,F4-2133C15D-32GVR,G.SKILL,Ripjaws V DDR4 2133 C15 2x16GB,75,71.2,1398,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2133-C15-2x16GB/Rating/3633
RAM,F3-2400C10Q-32GTX,G.SKILL,TridentX DDR3 2400 C10 4x8GB,76,71.1,3952,https://ram.userbenchmark.com/SpeedTest/89345/GSKILL-F3-2400C10-8GTX-4x8GB
RAM,F4-2400C15D-16GRR,G.SKILL,Ripjaws 4 DDR4 2400 C15 2x8GB,77,70.4,3939,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2400-C15-2x8GB/Rating/3551
RAM,HX421C14FBK2/8,HyperX,Fury DDR4 2133 C14 2x4GB,78,69.4,36377,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-2x4GB/Rating/3554
RAM,CMK16GX4M2A2133C13,Corsair,Vengeance LPX DDR4 2133 C13 2x8GB,79,69.2,32144,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2133-C13-2x8GB/Rating/3543
RAM,CMK16GX4M2A2133C13R,Corsair,Vengeance LPX DDR4 2133 C13 2x8GB,79,69.2,32144,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2133-C13-2x8GB/Rating/3543
RAM,F4-2133C15D-16GVB,G.SKILL,Ripjaws V DDR4 2133 C15 2x8GB,80,68.8,10595,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2133-C15-2x8GB/Rating/3632
RAM,F4-2133C15D-8GVR,G.SKILL,Ripjaws V DDR4 2133 C15 2x4GB,81,68.5,5824,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2133-C15-2x4GB/Rating/3560
RAM,F3-2400C10D-16GTX,G.SKILL,TridentX DDR3 2400 C10 2x8GB,82,67.8,14883,https://ram.userbenchmark.com/SpeedTest/89322/GSKILL-F3-2400C10-8GTX-2x8GB
RAM,BLS2K4G4D240FSA,Crucial,Ballistix Sport DDR4 2400 C16 2x4GB,83,67.7,664,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-DDR4-2400-C16-2x4GB/Rating/3601
RAM,HX324C11SRK2/16,HyperX,Savage DDR3 2400 C11 2x8GB,84,64,15565,https://ram.userbenchmark.com/SpeedTest/43621/Kingston-KHX2400C11D38GX-2x8GB
RAM,CMY16GX3M2A2400C11,Corsair,Vengeance Pro DDR3 2400 C11 2x8GB,85,61.4,25444,https://ram.userbenchmark.com/SpeedTest/89568/Corsair-Vengeance-Pro-CMY16GX3M2A2400C11-2x8GB
RAM,HX318C10FK2/16,HyperX,Fury DDR3 1866 C10 2x8GB,86,58.3,64919,https://ram.userbenchmark.com/SpeedTest/42962/Kingston-KHX1866C10D38G-2x8GB
RAM,HX318C10FBK2/16,HyperX,Fury DDR3 1866 C10 2x8GB,86,58.3,64919,https://ram.userbenchmark.com/SpeedTest/42962/Kingston-KHX1866C10D38G-2x8GB
RAM,HX318C10FRK2/16,HyperX,Fury DDR3 1866 C10 2x8GB,86,58.3,64919,https://ram.userbenchmark.com/SpeedTest/42962/Kingston-KHX1866C10D38G-2x8GB
RAM,HX318C10FWK2/16,HyperX,Fury DDR3 1866 C10 2x8GB,86,58.3,64919,https://ram.userbenchmark.com/SpeedTest/42962/Kingston-KHX1866C10D38G-2x8GB
RAM,BLS2KIT4G3D1609DS1S00,Crucial,Ballistix Sport DDR3 1600 C9 2x4GB,87,56.3,35485,https://ram.userbenchmark.com/SpeedTest/50785/Crucial-BLS4G3D1609DS1S00-2x4GB
RAM,BLS2CP4G3D1609DS1S00CEU,Crucial,Ballistix Sport DDR3 1600 C9 2x4GB,87,56.3,35485,https://ram.userbenchmark.com/SpeedTest/50785/Crucial-BLS4G3D1609DS1S00-2x4GB
RAM,HX316C10FK2/16,HyperX,Fury DDR3 1600 C10 2x8GB,88,54.6,49943,https://ram.userbenchmark.com/SpeedTest/42910/Kingston-KHX1600C10D38G-2x8GB
RAM,HX316C10FBK2/16,HyperX,Fury DDR3 1600 C10 2x8GB,88,54.6,49943,https://ram.userbenchmark.com/SpeedTest/42910/Kingston-KHX1600C10D38G-2x8GB
RAM,HX316C10FRK2/16,HyperX,Fury DDR3 1600 C10 2x8GB,88,54.6,49943,https://ram.userbenchmark.com/SpeedTest/42910/Kingston-KHX1600C10D38G-2x8GB
RAM,HX316C10FWK2/16,HyperX,Fury DDR3 1600 C10 2x8GB,88,54.6,49943,https://ram.userbenchmark.com/SpeedTest/42910/Kingston-KHX1600C10D38G-2x8GB
RAM,F3-12800CL9D-8GBXL,G.SKILL,RipjawsX DDR3 1600 C9 2x4GB,89,52.9,30604,https://ram.userbenchmark.com/SpeedTest/89321/GSKILL-F3-12800CL9-4GBXL-2x4GB
RAM,F3-14900CL10D-16GBXL,G.SKILL,RipjawsX DDR3 1866 C10 2x8GB,90,52.4,6157,https://ram.userbenchmark.com/SpeedTest/89210/GSKILL-F3-14900CL10-8GBXL-2x8GB
RAM,F3-12800CL10Q-32GBXL,G.SKILL,RipjawsX DDR3 1600 C10 4x8GB,91,51.9,2521,https://ram.userbenchmark.com/SpeedTest/90320/GSKILL-F3-12800CL10-8GBXL-4x8GB
RAM,HX316C10FK2/8,HyperX,Fury DDR3 1600 C10 2x4GB,92,51.3,18813,https://ram.userbenchmark.com/SpeedTest/42917/Kingston-KHX1600C10D38G-2x4GB
RAM,HX316C10FBK2/8,HyperX,Fury DDR3 1600 C10 2x4GB,92,51.3,18813,https://ram.userbenchmark.com/SpeedTest/42917/Kingston-KHX1600C10D38G-2x4GB
RAM,HX316C10FRK2/8,HyperX,Fury DDR3 1600 C10 2x4GB,92,51.3,18813,https://ram.userbenchmark.com/SpeedTest/42917/Kingston-KHX1600C10D38G-2x4GB
RAM,HX316C10FWK2/8,HyperX,Fury DDR3 1600 C10 2x4GB,92,51.3,18813,https://ram.userbenchmark.com/SpeedTest/42917/Kingston-KHX1600C10D38G-2x4GB
RAM,HX318C10FK2/8,HyperX,Fury DDR3 1866 C10 2x4GB,93,50.7,29309,https://ram.userbenchmark.com/HyperX-Fury-DDR3-1866-C10-2x4GB/Rating/3588
RAM,HX318C10FBK2/8,HyperX,Fury DDR3 1866 C10 2x4GB,93,50.7,29309,https://ram.userbenchmark.com/HyperX-Fury-DDR3-1866-C10-2x4GB/Rating/3588
RAM,HX318C10FRK2/8,HyperX,Fury DDR3 1866 C10 2x4GB,93,50.7,29309,https://ram.userbenchmark.com/HyperX-Fury-DDR3-1866-C10-2x4GB/Rating/3588
RAM,HX318C10FWK2/8,HyperX,Fury DDR3 1866 C10 2x4GB,93,50.7,29309,https://ram.userbenchmark.com/HyperX-Fury-DDR3-1866-C10-2x4GB/Rating/3588
RAM,HX316C9SRK2/8,HyperX,Savage DDR3 1600 C9 2x4GB,94,50.5,55112,https://ram.userbenchmark.com/SpeedTest/43139/Kingston-KHX1600C9D34GX-2x4GB
RAM,CMX8GX3M2A1600C9,Corsair,XMS3 DDR3 1600 C9 2x4GB,95,50.3,7988,https://ram.userbenchmark.com/SpeedTest/89663/Corsair-XMS3-CMX8GX3M2A1600C9-2x4GB
RAM,F3-12800CL10D-16GBXL,G.SKILL,RipjawsX DDR3 1600 C10 2x8GB,96,49.5,15357,https://ram.userbenchmark.com/SpeedTest/89329/GSKILL-F3-12800CL10-8GBXL-2x8GB
RAM,CMZ8GX3M2A1600C9,Corsair,Vengeance DDR3 1600 C9 2x4GB,97,48.8,49015,https://ram.userbenchmark.com/SpeedTest/89203/Corsair-Vengeance-CMZ8GX3M2A1600C9-2x4GB
RAM,BLS8G4D26BFSB,Crucial,Ballistix Sport LT DDR4 2666 C16 1x8GB,98,47.2,1140,https://ram.userbenchmark.com/SpeedTest/321149/Crucial-BLS8G4D26BFSC16FBD2-1x8GB
RAM,BLS8G4D26BFSC,Crucial,Ballistix Sport LT DDR4 2666 C16 1x8GB,98,47.2,1140,https://ram.userbenchmark.com/SpeedTest/321149/Crucial-BLS8G4D26BFSC16FBD2-1x8GB
RAM,BLS8G4D26BFSE,Crucial,Ballistix Sport LT DDR4 2666 C16 1x8GB,98,47.2,1140,https://ram.userbenchmark.com/SpeedTest/321149/Crucial-BLS8G4D26BFSC16FBD2-1x8GB
RAM,BLS8G4D240FSB,Crucial,Ballistix Sport LT DDR4 2400 C16 1x8GB,99,43.1,13315,https://ram.userbenchmark.com/SpeedTest/142440/Crucial-BLS8G4D240FSB16FBD-1x8GB
RAM,CMK8GX4M1A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 1x8GB,100,42.4,29864,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C16-1x8GB/Rating/3610
RAM,CMK8GX4M1A2400C16R,Corsair,Vengeance LPX DDR4 2400 C16 1x8GB,100,42.4,29864,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C16-1x8GB/Rating/3610
RAM,CT16G4DFD824A,Crucial,UDIMM DDR4 2400 C16 1x16GB,101,41.9,1416,https://ram.userbenchmark.com/SpeedTest/228105/Crucial-CT16G4DFD824AC16FAD-1x16GB
RAM,CT8G4DFD824A,Crucial,UDIMM DDR4 2400 C16 1x8GB,102,41.6,3094,https://ram.userbenchmark.com/SpeedTest/358525/Crucial-CT8G4DFD824AC16FHP-1x8GB
RAM,HX421C14FB/8,HyperX,Fury DDR4 2133 C14 1x8GB,103,40.3,11549,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-1x8GB/Rating/3555
RAM,CMK8GX4M1A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 1x8GB,104,39.5,13718,https://ram.userbenchmark.com/SpeedTest/89446/Corsair-Vengeance-LPX-CMK8GX4M1A2400C14-1x8GB
RAM,CMK4GX4M1A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 1x4GB,105,39.2,635,https://ram.userbenchmark.com/SpeedTest/97522/Corsair-Vengeance-LPX-CMK4GX4M1A2400C14-1x4GB
RAM,CT4G4DFS824A,Crucial,UDIMM DDR4 2400 C17 1x4GB,106,39.1,3204,https://ram.userbenchmark.com/SpeedTest/372497/Crucial-CT4G4DFS824AC8FHP-1x4GB
RAM,CMV4GX4M1A2133C15,Corsair,ValueSelect DDR4 2133 C15 1x4GB,107,37.7,868,https://ram.userbenchmark.com/SpeedTest/96727/Corsair-ValueSelect-CMV4GX4M1A2133C15-1x4GB
RAM,F4-2133C15S-4GNT,G.SKILL,Value DDR4 2133 C15 1x4GB,108,37.6,402,https://ram.userbenchmark.com/SpeedTest/109263/GSKILL-F4-2133C15-4GNT-1x4GB
RAM,CMZ8GX3M1A1600C10,Corsair,Vengeance DDR3 1600 C10 1x8GB,109,31.1,7520,https://ram.userbenchmark.com/SpeedTest/89201/Corsair-Vengeance-CMZ8GX3M1A1600C10-1x8GB
RAM,F3-12800CL9S-4GBRL,G.SKILL,Ripjaws DDR3 1600 C9 1x4GB,110,29.3,579,https://ram.userbenchmark.com/SpeedTest/90810/GSKILL-F3-12800CL9-4GBRL-1x4GB
RAM,F3-12800CL10S-8GBXL,G.SKILL,RipjawsX DDR3 1600 C10 1x8GB,111,28,3175,https://ram.userbenchmark.com/SpeedTest/89412/GSKILL-F3-12800CL10-8GBXL-1x8GB
