Model,Price (USD),Cores/Threads,Base frequency (GHz),Max turbo frequency (GHz),GPU,Maximum GPU clock rate (MHz),L3Â cache (MB),TDP (W),Socket,Release
i9-9900K,$529,8/16,3.6,5.0,UHD 630,1200.0,16.0,95,LGA 1151,Q4 2018
i7-9700K,$399,8/8,3.7,4.9,UHD 630,1200.0,12.0,95,LGA 1151,Q4 2018
i5-9600K,$229,6/6,3.7,4.6,UHD 630,1150.0,9.0,95,LGA 1151,Q4 2018
i5-9400F,$149,6/6,2.9,4.1,,,9.0,65,LGA 1151,Q1 2019
i3-9350KF,$172,4/4,4.0,4.6,,,8.0,91,LGA 1151,Q1 2019
i7-8086K,$425,6/12,4.0,5.0,UHD 630,1200.0,12.0,95,LGA 1151,Q2 2018
i7-8700K,$359,6/12,3.7,4.7,UHD 630,1200.0,12.0,95,LGA 1151,Q4 2017
i7-8700,$303,6/12,3.2,4.6,UHD 630,1200.0,12.0,65,LGA 1151,Q4 2017
i5-8600K,$257,6/6,3.6,4.3,UHD 630,1150.0,9.0,95,LGA 1151,Q4 2017
i5-8500,$202,6/6,3.0,4.1,UHD 630,1100.0,9.0,65,LGA 1151,Q2 2018
i5-8400,$182,6/6,2.8,4.0,UHD 630,1050.0,9.0,65,LGA 1151,Q4 2017
i3-8350K,$168,4/4,4.0,,UHD 630,1150.0,8.0,91,LGA 1151,Q4 2017
i3-8100,$117,4/4,3.6,,UHD 630,1100.0,6.0,65,LGA 1151,Q4 2017
i9-7980XE,$1999,18/36,2.6,4.2,,,24.75,165,LGA 2066,Q3 2017[1]
i9-7960X,$1699,16/32,2.8,4.2,,,22.0,165,LGA 2066,Q3 2017[1]
i9-7940X,$1399,14/28,3.1,4.3,,,19.25,165,LGA 2066,Q3 2017[1]
i9-7920X,$1189,12/24,2.9,4.3,,,16.5,140,LGA 2066,Q3 2017
i9-7900X,$999,10/20,3.3,4.3,,,13.75,140,LGA 2066,Q2 2017
i7-7820X,$599,8/16,3.6,4.3,,,11.0,140,LGA 2066,Q2 2017
i7-7800X,$389,6/12,3.5,4.0,,,8.25,140,LGA 2066,Q2 2017
i7-7740X,$350,4/8,4.3,4.5,,,8.0,112,LGA 2066,Q1 2017
i7-7700K,$350,4/8,4.2,4.5,HD 630,1150.0,8.0,91,LGA 1151,Q1 2017
i7-7700,$312,4/8,3.6,4.2,HD 630,1150.0,8.0,65,LGA 1151,Q1 2017
i7-7700T,$312,4/8,2.9,3.8,HD 630,1150.0,8.0,35,LGA 1151,Q1 2017
i5-7640X,$242,4/4,4.0,4.2,,,6.0,112,LGA 2066,Q1 2017
i5-7600K,$243,4/4,3.8,4.2,HD 630,1150.0,6.0,91,LGA 1151,Q1 2017
i5-7600,$224,4/4,3.5,4.1,HD 630,1150.0,6.0,65,LGA 1151,Q1 2017
i5-7600T,$224,4/4,2.8,3.7,HD 630,1100.0,6.0,35,LGA 1151,Q1 2017
i5-7500,$202,4/4,3.4,3.8,HD 630,1100.0,6.0,65,LGA 1151,Q1 2017
i5-7500T,$202,4/4,2.7,3.3,HD 630,1100.0,6.0,35,LGA 1151,Q1 2017
i5-7400,$182,4/4,3.0,3.5,HD 630,1000.0,6.0,65,LGA 1151,Q1 2017
i5-7400T,$187,4/4,2.4,3.0,HD 630,1000.0,6.0,35,LGA 1151,Q1 2017
i3-7350K,$179,2/4,4.2,,HD 630,1150.0,4.0,60,LGA 1151,Q1 2017
i3-7320,$157,2/4,4.1,,HD 630,1150.0,4.0,51,LGA 1151,Q1 2017
i3-7300,$147,2/4,4.0,,HD 630,1150.0,4.0,51,LGA 1151,Q1 2017
i3-7300T,$147,2/4,3.5,,HD 630,1100.0,4.0,35,LGA 1151,Q1 2017
i3-7100,$117,2/4,3.9,,HD 630,1100.0,3.0,51,LGA 1151,Q1 2017
i3-7100T,$117,2/4,3.4,,HD 630,1100.0,3.0,35,LGA 1151,Q1 2017
i3-7101E,$117,2/4,3.9,,HD 630,1100.0,3.0,54,LGA 1151,Q1 2017
i3-7101TE,$117,2/4,3.4,,HD 630,1100.0,3.0,35,LGA 1151,Q1 2017
G4620,$93,2/4,3.7,,HD 630,1100.0,3.0,51,LGA 1151,Q1 2017
G4600,$82,2/4,3.6,,HD 630,1100.0,3.0,51,LGA 1151,Q1 2017
G4600T,$75,2/4,3.0,,HD 630,1050.0,3.0,35,LGA 1151,Q1 2017
G4560,$64,2/4,3.5,,HD 610,1050.0,3.0,54,LGA 1151,Q1 2017
G4560T,$64,2/4,2.9,,HD 610,1050.0,3.0,35,LGA 1151,Q1 2017
G3950,$52,2/2,3.0,,HD 610,1050.0,2.0,51,LGA 1151,Q1 2017
G3930,$42,2/2,2.9,,HD 610,1050.0,2.0,51,LGA 1151,Q1 2017
G3930T,$42,2/2,2.7,,HD 610,1000.0,2.0,35,LGA 1151,Q1 2017
